Pokemon;Type;Generation;Weight;Size
Goomy;Dragon;6;"6.2 lbs";"1 ft. 00 in."
Phantump;"Ghost, Grass";6;"15.4 lbs";"1 ft. 04 in."
Pumpkaboo;"Ghost, Grass";6;"7.7 lbs";"1 ft. 00 in."
Bergmite;Ice;6;"219.4 lbs";"3 ft. 03 in."
Applin;"Grass, Dragon";8;"1.1 lbs";"0 ft. 08 in."
Toxel;"Electric, Poison";8;"24.3 lbs";"1 ft. 04 in."
Clobbopus;Fighting;8;"8.8 lbs";"2 ft. 00 in."
Sinistea;Ghost;8;"0.4 lbs";"0 ft. 04 in."
Hatenna;Psychic;8;"7.5 lbs";"1 ft. 04 in."
Shellder;Water;1;"8.8 lbs";"1 ft. 00 in."
Rowlet;"Grass, Flying";7;"3.3 lbs";"1 ft. 00 in."
Litten;Fire;7;"9.5 lbs";"1 ft. 04 in."
Popplio;Water;7;"16.5 lbs";"1 ft. 04 in."
Pikipek;"Normal, Flying";7;"2.6 lbs";"1 ft. 00 in."
Grubbin;Bug;7;"9.7 lbs";"1 ft. 04 in."
Cutiefly;"Bug, Fairy";7;"0.4 lbs";"0 ft. 04 in."
Rockruff;Rock;7;"20.3 lbs";"1 ft. 08 in."
Mareanie;"Poison, Water";7;"17.6 lbs";"1 ft. 04 in."
